# Combined, deduplicated dependency list — generated by compile_dependencies.py
# Snapshot date: 2026-08-26
# Columns: ecosystem	name	version	project	scope
docker-image	eflint	latest	eflint_server.Dockerfile	base-image
docker-image	nginxinc/nginx-unprivileged	1.23-alpine	gui.Dockerfile	base-image
docker-image	node	18.12	gui.Dockerfile	base-image
docker-image	python	3.11-slim	auth-service.Dockerfile	base-image
docker-image	python	3.11-slim	flint-to-eflint.Dockerfile	base-image
docker-image	python	3.11-slim	mongo-api.Dockerfile	base-image
docker-image	python	3.12-slim	eflint_server.Dockerfile	base-image
npm	@quasar/extras	1.15.5	gui	dependencies
npm	@quasar/vite-plugin	1.2.3	gui	devDependencies
npm	@triply/triplydb	9.1.0	gui	dependencies
npm	@vitejs/plugin-vue	3.1.0	gui	devDependencies
npm	d3-array	3.2.2	gui	dependencies
npm	d3-fetch	3.0.1	gui	dependencies
npm	d3-force	3.0.0	gui	dependencies
npm	d3-selection	3.0.0	gui	dependencies
npm	d3-zoom	3.0.0	gui	dependencies
npm	eslint	8.35.0	gui	devDependencies
npm	eslint-config-prettier	8.7.0	gui	devDependencies
npm	eslint-plugin-vue	9.9.0	gui	devDependencies
npm	file-saver	2.0.5	gui	dependencies
npm	mongodb	7.1.0	gui	dependencies
npm	netlify-cli	23.10	gui	devDependencies
npm	prettier	2.8.4	gui	devDependencies
npm	quasar	2.10.0	gui	dependencies
npm	quasar-app-extension-qdraggabletree	2.0.5	gui	dependencies
npm	sass	1.32.12	gui	devDependencies
npm	superagent	10.2.3	gui	dependencies
npm	uuid	9.0.0	gui	dependencies
npm	vite	3.1.0	gui	devDependencies
npm	vue	3.2.37	gui	dependencies
npm	vuex	4.0.2	gui	dependencies
os-package	libgmp10		eflint_server.Dockerfile	os-package
os-package	libtinfo6		eflint_server.Dockerfile	os-package
pip	argon2-cffi	23.1.0	auth-service	direct
pip	argon2-cffi	23.1.0	flint-to-eflint	direct
pip	fastapi	0.115.0	auth-service	direct
pip	fastapi	0.115.0	eFLINT_reasoner_backend	direct
pip	fastapi	0.115.0	flint-to-eflint	direct
pip	fastapi	0.115.0	mongo-api	direct
pip	fastapi	0.115.6	eflint_server	direct
pip	jinja2	3.1.4	flint-to-eflint	direct
pip	pydantic	2.10.5	eflint_server	direct
pip	pydantic	2.8.2	auth-service	direct
pip	pydantic	2.8.2	eFLINT_reasoner_backend	direct
pip	pydantic	2.8.2	flint-to-eflint	direct
pip	pydantic	2.8.2	mongo-api	direct
pip	pymongo	4.8.0	mongo-api	direct
pip	uvicorn	0.30.6	auth-service	direct
pip	uvicorn	0.30.6	eFLINT_reasoner_backend	direct
pip	uvicorn	0.30.6	flint-to-eflint	direct
pip	uvicorn	0.30.6	mongo-api	direct
pip	uvicorn	0.34.0	eflint_server	direct
